Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,32,24,26,36,38,34,41,43,31,28,21,20
2002,39,22,20,33,26,33,40,35,25,30,18,18
2003,24,18,20,25,24,27,28,30,25,25,18,18
2004,24,17,19,26,24,25,29,31,23,26,20,19
2005,25,20,22,25,25,27,33,40,24,26,20,19
2006,32,21,26,29,32,31,34,39,26,32,24,27
2007,35,27,25,31,37,34,31,48,26,34,25,23
2008,35,22,24,28,28,29,30,39,32,28,17,16
2009,22,17,15,19,17,19,21,26,17,16,12,16
2010,17,13,18,19,18,24,23,28,20,23,17,14
2011,18,16,16,16,21,26,24,35,24,23,15,21
2012,20,21,21,19,25,28,24,35,18,20,17,16
2013,22,18,18,23,27,25,29,35,21,20,19,18
2014,21,17,22,27,31,29,29,34,25,21,17,16
2015,26,21,24,27,29,28,26,34,30,26,26,24
2016,25,24,28,27,35,31,34,40,30,29,23,31
2017,38,24,29,29,34,33,31,40,33,30,26,26
2018,32,26,36,31,40,39,35,46,38,39,30,27
2019,30,28,37,34,42,43,37,43,36,30,27,25
2020,36,28,24,15,17,28,35,36,31,30,25,23
2021,32,26,29,27,32,44,43,52,37,41,39,29
