Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,51,38,22,58,48,48,63,60,48,46,36,35
2002,44,33,31,38,37,38,48,51,42,40,27,29
2003,41,31,34,34,33,33,45,40,40,42,32,43
2004,37,32,36,34,40,40,53,46,37,42,43,37
2005,49,30,33,42,44,44,52,57,42,46,39,41
2006,56,38,37,38,52,45,61,59,48,50,35,35
2007,48,38,40,42,49,46,60,61,47,53,35,40
2008,52,41,36,45,42,44,50,49,38,39,30,23
2009,32,22,23,23,25,22,32,35,24,24,22,25
2010,30,21,24,25,31,35,37,34,30,33,24,30
2011,28,26,25,31,35,30,37,38,38,30,28,28
2012,28,29,29,32,31,35,40,37,34,32,24,26
2013,39,29,27,32,35,35,43,43,36,35,35,29
2014,43,34,34,34,46,48,54,56,44,45,37,30
2015,40,37,34,37,47,56,50,60,37,42,33,39
2016,41,36,40,38,43,51,55,51,44,47,34,33
2017,46,42,43,44,48,57,68,64,47,49,39,39
2018,44,43,43,42,52,55,55,62,53,63,47,53
2019,52,49,49,51,48,50,62,55,45,48,38,43
2020,63,42,36,33,33,40,43,66,57,65,52,50
2021,69,43,59,74,57,59,65,93,64,61,71,61
