Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,56,40,37,57,50,48,64,56,44,68,30,28
2002,44,31,37,53,45,40,53,57,46,45,30,29
2003,44,31,43,46,44,43,54,45,38,42,30,33
2004,45,33,45,50,41,41,60,54,46,57,44,36
2005,51,33,32,55,45,45,60,68,117,87,54,36
2006,60,40,35,53,50,49,60,60,50,62,39,45
2007,52,45,43,61,53,58,69,67,45,52,37,37
2008,50,36,41,56,43,49,51,47,56,37,29,26
2009,35,21,25,32,28,35,41,32,32,29,24,22
2010,30,25,26,32,32,35,41,38,26,35,23,25
2011,27,25,33,36,34,43,38,48,35,45,26,30
2012,39,26,37,39,40,40,42,46,31,38,24,30
2013,35,31,32,35,42,35,46,49,35,34,27,28
2014,45,29,35,41,39,44,47,51,42,47,40,36
2015,51,35,44,49,47,49,50,64,40,39,38,44
2016,43,36,41,47,48,49,49,60,49,49,40,36
2017,50,42,49,50,52,57,60,57,52,54,44,40
2018,49,44,50,55,59,54,58,68,58,54,42,42
2019,58,55,58,59,62,64,77,66,52,52,45,53
2020,48,45,40,34,38,46,51,62,63,46,47,47
2021,49,47,50,58,61,65,64,67,69,62,62,57
