Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,13,7,9,10,9,10,12,14,12,15,17,13
2002,15,7,6,11,6,16,10,12,15,14,15,12
2003,16,8,8,14,10,8,12,19,16,17,13,14
2004,16,8,9,15,7,9,13,11,19,14,14,13
2005,19,7,8,10,6,10,8,13,15,12,10,10
2006,12,7,5,11,6,8,8,8,11,19,8,11
2007,14,7,5,7,6,6,6,11,12,12,13,15
2008,14,9,7,8,8,8,8,15,14,11,12,15
2009,16,12,11,13,11,13,9,14,14,14,17,17
2010,16,7,10,10,8,10,15,9,11,13,16,16
2011,11,6,7,9,7,7,7,8,10,15,12,10
2012,9,6,6,7,7,6,8,9,11,15,12,10
2013,10,5,10,10,11,7,8,9,18,10,12,12
2014,11,5,6,11,19,6,8,7,12,9,10,13
2015,12,5,6,6,6,6,5,11,15,10,12,14
2016,10,6,7,11,6,6,7,10,13,7,10,12
2017,10,8,5,9,7,7,7,13,18,8,19,10
2018,14,4,6,6,6,14,13,12,14,10,11,11
2019,10,6,6,8,7,7,5,9,14,11,14,10
2020,9,6,51,40,10,10,7,8,11,10,15,11
2021,10,6,4,6,4,6,5,7,8,7,13,5
