Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,65,48,43,56,51,46,60,68,63,50,42,34
2002,53,34,38,54,41,47,65,67,53,50,43,43
2003,47,39,42,39,50,50,65,57,54,56,43,43
2004,52,40,49,52,42,55,67,66,65,57,46,43
2005,74,38,40,59,68,56,71,79,67,68,40,45
2006,58,38,47,43,51,53,59,68,55,69,43,41
2007,52,40,40,54,45,45,62,77,49,61,36,36
2008,49,38,38,53,38,41,54,61,46,46,29,30
2009,43,37,29,32,35,29,43,41,35,47,31,28
2010,44,30,35,34,33,44,47,46,50,41,33,25
2011,30,25,26,29,31,37,38,59,38,30,34,23
2012,38,28,35,36,31,40,41,52,42,46,33,34
2013,41,39,30,42,37,39,50,46,47,40,27,44
2014,39,34,39,42,37,48,50,58,62,45,33,34
2015,44,32,30,40,45,50,52,63,53,45,38,48
2016,49,40,37,57,57,68,58,73,53,57,37,38
2017,53,44,45,48,50,49,71,77,62,61,43,50
2018,48,44,46,47,47,59,61,70,61,62,58,44
2019,69,63,54,62,59,85,67,77,68,59,50,55
2020,72,48,45,36,39,48,60,60,46,57,41,38
2021,53,44,44,67,55,69,80,82,66,68,59,60
