Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,48,38,28,31,51,58,31,48,56,50,53,44
2002,43,30,23,31,41,28,38,39,44,41,40,35
2003,42,28,21,43,36,29,30,42,31,30,39,41
2004,41,24,28,24,20,31,38,30,38,28,29,34
2005,37,34,21,22,29,28,38,29,37,32,35,43
2006,38,24,21,22,30,27,34,28,35,28,37,49
2007,40,25,34,39,29,28,39,43,30,33,28,38
2008,41,21,29,26,32,36,31,31,37,52,45,55
2009,50,36,45,37,24,31,26,39,54,35,43,43
2010,33,25,28,21,27,30,36,32,36,27,33,54
2011,39,22,21,26,22,40,30,24,47,35,37,36
2012,40,21,23,43,32,22,23,33,39,25,33,38
2013,39,19,21,30,22,24,17,39,27,38,62,42
2014,31,20,21,33,22,26,23,27,29,38,40,33
2015,28,14,25,47,25,31,22,40,40,27,34,29
2016,28,41,26,15,31,32,24,26,28,34,48,37
2017,36,19,21,19,23,47,44,34,43,33,32,42
2018,34,21,21,23,25,31,29,35,33,38,59,55
2019,31,16,20,19,21,36,23,27,28,30,37,35
2020,50,38,293,154,38,29,18,17,18,23,59,43
2021,28,15,19,17,14,22,15,24,24,19,36,33
