Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,32,25,25,28,31,28,30,31,23,28,17,16
2002,28,16,19,25,23,23,29,29,23,26,15,17
2003,21,15,21,27,23,22,24,27,20,24,19,18
2004,22,15,21,23,22,26,28,28,22,26,21,17
2005,23,18,19,24,29,27,32,32,45,37,22,27
2006,31,21,24,29,30,36,38,38,29,34,24,22
2007,30,23,27,31,29,26,30,35,23,30,17,19
2008,28,23,21,25,25,23,29,27,21,21,15,15
2009,19,12,14,14,17,16,22,20,12,17,12,12
2010,15,11,13,16,17,19,20,21,15,18,14,14
2011,15,14,14,16,20,20,22,19,21,17,16,14
2012,17,14,17,17,19,26,23,24,15,18,12,14
2013,23,14,15,19,22,23,29,28,19,18,15,15
2014,19,16,19,20,24,24,25,30,21,23,17,16
2015,23,17,22,22,27,28,33,32,26,25,17,22
2016,28,18,23,25,27,30,27,36,27,29,21,24
2017,28,23,30,25,29,31,35,37,26,29,24,21
2018,23,27,27,28,33,36,37,38,30,33,25,25
2019,30,29,34,30,34,36,37,36,28,28,24,29
2020,32,27,21,17,25,28,29,46,35,32,27,36
2021,32,31,39,42,32,41,36,47,42,39,38,36
