Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,52,39,33,37,77,46,40,66,51,48,51,42
2002,43,32,24,40,34,32,40,42,36,48,29,45
2003,52,28,22,29,35,29,55,56,27,33,36,42
2004,44,30,28,31,27,24,32,39,31,34,35,36
2005,44,42,52,24,43,27,51,45,46,38,47,47
2006,40,31,36,28,33,31,33,36,38,41,53,40
2007,42,30,29,35,29,35,41,52,53,40,41,37
2008,42,31,22,33,29,45,67,41,49,75,44,45
2009,74,35,43,34,42,36,39,64,40,39,29,69
2010,75,40,31,34,36,55,58,67,40,35,37,55
2011,72,19,21,38,26,45,28,42,35,32,30,29
2012,42,21,23,27,26,31,36,40,37,31,35,29
2013,37,22,21,26,32,27,21,50,39,30,34,31
2014,42,27,36,39,40,33,36,32,27,35,35,40
2015,40,23,34,37,29,30,30,38,38,29,45,27
2016,36,30,42,24,22,32,30,42,22,31,37,45
2017,55,32,42,42,32,49,43,36,21,35,30,53
2018,36,29,29,26,34,27,24,35,30,33,34,35
2019,44,23,21,27,42,27,26,41,45,31,51,40
2020,36,32,269,179,38,35,31,31,33,32,41,26
2021,33,19,15,15,18,27,20,31,24,21,19,24
