Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,79,72,67,95,108,92,103,110,78,63,45,47
2002,73,39,42,52,47,54,62,81,50,45,42,46
2003,47,39,36,58,55,47,54,71,53,48,41,39
2004,59,34,44,52,51,55,61,70,48,51,50,41
2005,53,51,40,57,61,62,69,75,61,53,48,38
2006,60,51,51,58,59,65,62,77,63,66,45,47
2007,68,48,47,50,64,59,60,78,50,52,47,42
2008,43,49,49,58,51,60,58,61,64,51,36,32
2009,44,35,36,38,38,35,46,49,44,40,23,31
2010,34,35,35,59,53,56,46,57,43,37,26,32
2011,43,34,34,42,42,51,59,63,40,37,37,31
2012,40,36,45,47,49,54,45,63,50,42,34,36
2013,50,38,41,46,48,68,66,71,57,68,46,42
2014,62,36,63,60,60,59,74,86,70,62,50,43
2015,63,61,70,77,68,81,82,88,71,83,72,81
2016,59,73,65,53,77,66,64,81,66,61,51,59
2017,62,55,60,49,68,57,73,77,70,54,44,70
2018,51,49,63,56,60,71,82,90,67,78,63,47
2019,72,46,58,66,67,86,82,77,73,68,66,56
2020,82,77,65,45,56,74,79,84,81,62,53,64
2021,73,73,70,69,75,100,98,110,95,84,70,79
