Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,13,7,9,13,10,11,15,12,12,11,9,7
2002,12,7,8,11,9,9,15,14,15,12,10,10
2003,13,7,8,11,10,10,14,12,15,16,9,8
2004,10,8,10,12,11,13,15,21,15,13,10,11
2005,10,9,10,12,12,14,13,18,20,15,14,13
2006,13,11,10,11,12,13,16,16,18,14,13,11
2007,15,10,10,12,14,14,16,16,15,16,11,11
2008,13,9,9,11,14,12,14,16,16,12,9,9
2009,10,7,6,7,8,8,9,13,12,9,8,6
2010,6,6,6,8,8,9,8,11,11,9,7,6
2011,8,6,7,7,9,8,10,11,12,10,7,7
2012,6,6,7,9,10,10,10,11,11,11,8,7
2013,9,8,8,9,11,10,12,14,12,13,10,9
2014,10,8,9,10,12,10,15,15,15,15,10,10
2015,12,10,11,10,14,12,12,14,16,14,12,12
2016,11,9,10,13,14,14,14,16,17,14,12,11
2017,13,10,11,12,16,17,15,17,17,16,13,12
2018,12,11,11,13,15,16,17,20,18,16,13,12
2019,14,12,12,12,16,15,17,19,19,18,14,13
2020,13,10,8,7,7,11,15,18,17,16,12,10
2021,15,9,13,14,10,14,17,21,26,21,20,14
