Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,29,21,25,29,23,23,27,32,27,30,21,22
2002,29,20,18,26,21,21,28,29,24,20,20,23
2003,28,19,20,23,21,24,27,29,26,28,20,21
2004,29,22,22,25,25,33,35,37,26,29,24,26
2005,32,24,28,34,31,34,34,45,32,31,31,31
2006,35,32,31,33,32,39,40,40,37,36,33,32
2007,35,29,36,32,37,45,55,44,35,31,24,32
2008,31,35,28,29,39,29,34,34,27,31,25,24
2009,17,27,13,20,17,22,20,24,15,19,16,19
2010,16,17,18,18,25,22,21,25,17,17,17,16
2011,22,20,23,21,24,27,27,27,19,21,18,19
2012,17,18,22,26,22,20,24,26,17,22,17,20
2013,21,21,18,18,25,23,26,32,23,23,23,22
2014,24,25,26,25,26,25,32,33,28,28,22,23
2015,26,29,28,27,26,31,29,28,26,29,26,27
2016,26,27,26,36,33,31,38,36,29,28,30,30
2017,31,25,30,35,29,33,35,45,30,31,30,39
2018,29,26,33,40,37,41,41,51,37,36,32,39
2019,38,27,37,43,38,45,44,49,36,36,30,35
2020,38,29,44,24,35,37,45,37,38,30,32,31
2021,42,32,43,64,78,51,47,63,59,48,38,38
