Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,15,13,13,17,14,15,16,19,20,16,12,10
2002,17,11,9,15,14,12,16,16,17,15,11,7
2003,11,9,9,10,10,10,12,11,20,14,10,8
2004,10,8,9,11,11,12,15,16,15,14,12,10
2005,15,10,12,15,13,13,16,19,20,18,12,11
2006,14,11,14,13,15,14,18,21,18,16,14,10
2007,12,9,12,12,13,14,16,17,16,18,15,7
2008,13,11,10,16,13,13,16,13,15,11,9,9
2009,9,6,6,8,8,8,8,10,11,9,8,6
2010,9,6,9,13,9,10,10,12,11,9,7,6
2011,8,7,7,8,10,9,8,11,11,8,7,6
2012,11,7,8,11,11,10,9,15,12,8,8,8
2013,11,8,7,10,10,10,11,13,14,10,10,6
2014,9,9,10,14,10,11,14,18,15,12,9,9
2015,11,9,11,11,12,13,14,16,16,10,10,11
2016,13,9,12,12,14,15,14,18,18,14,13,11
2017,14,11,14,13,17,15,15,18,19,16,14,14
2018,16,13,12,16,14,14,14,16,15,10,10,12
2019,12,9,13,13,14,17,13,18,17,13,11,10
2020,12,11,9,8,7,12,11,15,14,13,12,10
2021,12,11,14,15,14,19,19,22,28,19,27,16
