Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,22,13,15,22,15,17,21,19,19,18,12,12
2002,19,12,13,18,15,15,23,25,21,17,12,15
2003,21,12,14,17,16,19,22,20,20,21,13,11
2004,20,14,16,17,18,21,24,26,21,19,14,13
2005,20,16,16,21,17,23,20,28,23,21,21,18
2006,19,16,16,19,18,23,26,25,19,20,17,15
2007,20,16,18,21,20,21,27,24,21,19,14,16
2008,18,15,15,16,19,18,24,22,17,16,11,13
2009,14,11,10,12,10,14,13,15,12,10,10,10
2010,12,10,10,13,14,14,14,15,14,11,9,8
2011,11,12,13,12,17,13,16,19,14,12,9,11
2012,12,11,13,16,20,17,16,18,12,13,10,10
2013,16,12,13,16,17,17,19,21,17,16,14,12
2014,15,12,15,15,15,17,19,22,18,16,13,13
2015,17,19,19,14,17,20,17,22,17,17,14,14
2016,15,14,15,15,17,25,23,23,19,18,14,12
2017,19,13,15,18,19,23,19,26,18,17,13,14
2018,17,14,18,20,23,25,24,28,20,24,19,16
2019,22,20,23,21,25,27,35,29,23,23,22,19
2020,21,17,14,12,11,18,23,26,17,18,14,20
2021,16,21,19,22,21,28,25,34,24,22,23,22
