Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,122,85,118,104,56,81,153,132,201,208,134,129
2002,139,85,91,121,84,114,111,179,152,139,116,126
2003,173,83,86,79,88,93,131,152,151,144,109,153
2004,194,90,67,114,71,107,106,133,132,92,128,191
2005,143,66,108,131,79,100,104,111,147,134,86,158
2006,151,95,74,94,65,82,99,98,129,129,92,118
2007,120,101,74,80,73,77,97,137,115,147,125,135
2008,120,92,78,99,107,107,105,156,135,133,114,139
2009,189,110,127,124,117,189,141,169,143,110,85,168
2010,127,89,99,65,106,139,164,155,123,160,152,138
2011,108,109,91,156,136,146,160,154,124,112,111,119
2012,119,92,91,76,82,116,138,157,155,120,153,108
2013,135,79,116,123,101,132,143,150,123,135,94,115
2014,119,63,78,74,68,94,79,96,110,160,86,131
2015,153,55,89,98,91,99,82,144,154,103,90,131
2016,134,78,106,113,108,114,115,138,126,99,103,126
2017,142,78,79,99,83,108,106,121,137,110,122,145
2018,228,73,75,96,74,120,85,143,128,127,115,105
2019,154,57,64,106,67,148,112,163,142,131,107,152
2020,136,90,857,694,124,110,107,106,87,112,100,91
2021,141,73,49,67,59,48,71,74,71,94,74,67
