Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,138,125,130,153,142,128,167,181,196,167,100,109
2002,156,105,111,110,111,122,134,148,130,128,100,86
2003,122,91,83,99,96,109,133,137,123,116,95,81
2004,108,83,91,127,113,136,144,148,133,125,110,110
2005,151,88,116,123,120,125,179,176,160,134,85,145
2006,159,92,104,127,145,132,163,207,176,129,112,114
2007,115,86,103,124,117,119,140,177,137,115,106,91
2008,134,105,103,139,142,120,146,146,129,95,79,80
2009,79,62,66,82,92,90,91,93,98,81,71,80
2010,71,61,80,98,93,129,121,143,114,78,73,74
2011,92,74,107,100,119,112,111,152,124,120,63,63
2012,115,77,95,113,109,115,103,147,110,98,85,84
2013,128,83,73,99,90,119,119,148,128,114,100,83
2014,111,91,102,91,112,88,123,145,143,120,75,100
2015,133,85,121,131,120,135,168,195,161,133,97,128
2016,155,104,141,122,149,141,158,184,154,133,126,136
2017,156,99,124,157,147,140,151,181,166,143,114,142
2018,155,116,104,144,152,159,154,189,179,118,121,117
2019,151,111,133,119,165,180,182,216,147,147,118,114
2020,162,115,119,93,111,131,153,195,134,126,103,122
2021,124,90,126,154,137,180,222,266,195,166,168,164
