Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,96,78,76,99,90,81,95,117,75,87,84,77
2002,88,62,76,85,69,77,100,94,75,75,57,55
2003,84,47,54,70,67,78,91,96,70,69,64,58
2004,75,57,71,79,77,100,94,93,91,84,69,66
2005,91,57,83,70,83,82,100,118,86,81,73,68
2006,92,68,72,84,94,103,121,136,98,120,95,81
2007,98,76,88,107,93,91,123,115,93,109,77,73
2008,89,85,64,89,83,93,98,97,79,74,49,49
2009,49,48,50,61,56,49,70,60,49,60,48,47
2010,53,43,47,75,56,61,61,79,61,50,51,55
2011,53,55,66,71,66,56,89,71,84,51,46,44
2012,93,54,70,71,77,80,108,88,68,72,56,61
2013,73,67,66,93,84,92,106,102,94,91,84,66
2014,89,73,82,76,87,104,92,114,98,96,74,73
2015,78,65,71,96,92,121,104,125,111,115,74,93
2016,84,78,101,99,91,105,107,132,95,109,75,76
2017,94,81,89,86,96,112,109,138,94,113,105,96
2018,115,111,120,124,123,132,133,159,129,137,105,115
2019,142,137,142,149,134,148,156,176,138,117,98,100
2020,115,98,80,66,83,97,111,135,100,139,114,106
2021,133,102,113,159,146,142,167,184,151,169,167,134
