Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,7,5,3,3,7,7,4,6,8,6,8,7
2002,6,4,4,4,5,7,5,5,7,5,6,7
2003,7,4,4,5,4,7,5,6,6,6,8,8
2004,7,4,4,4,4,5,4,6,7,5,7,7
2005,6,4,4,3,4,5,5,6,6,5,6,7
2006,6,4,4,4,6,5,5,6,6,5,8,7
2007,6,4,4,5,5,6,6,8,7,7,7,8
2008,7,4,4,4,5,6,5,7,7,7,8,9
2009,10,5,6,5,6,6,5,8,7,7,6,10
2010,7,4,5,4,6,8,7,7,7,5,8,9
2011,8,3,4,7,6,7,5,7,8,6,7,9
2012,8,5,6,5,7,7,6,9,9,6,11,10
2013,8,6,5,6,7,6,6,8,8,6,9,13
2014,10,6,6,7,6,5,6,7,7,8,11,12
2015,12,7,10,9,9,9,7,9,8,7,8,11
2016,10,6,9,5,5,7,5,8,6,6,7,12
2017,8,4,6,5,6,7,5,8,5,7,7,8
2018,7,5,5,4,6,5,4,7,6,7,9,7
2019,10,4,4,4,5,5,5,6,6,7,8,8
2020,9,6,45,28,11,7,5,6,5,8,11,6
2021,9,6,4,3,7,5,4,6,6,10,7,7
