Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,8,7,8,8,12,11,9,13,10,7,6,6
2002,8,5,8,6,7,7,8,10,8,6,6,6
2003,7,5,5,6,9,7,8,9,8,7,6,6
2004,7,4,6,6,8,8,7,8,7,6,7,6
2005,6,5,6,6,8,8,8,10,8,7,6,6
2006,8,6,7,7,9,10,9,12,8,8,7,7
2007,7,6,7,7,10,9,8,12,8,8,7,6
2008,7,6,7,6,9,9,7,11,8,6,5,4
2009,6,4,5,4,5,5,6,7,5,5,4,4
2010,5,4,5,5,7,7,6,9,7,5,5,5
2011,5,5,5,7,7,8,8,11,8,6,6,6
2012,5,5,7,6,9,10,9,13,9,8,7,7
2013,7,6,8,8,9,10,10,13,10,8,8,8
2014,8,7,9,10,12,11,12,15,12,11,8,8
2015,11,9,11,11,12,13,12,14,11,11,10,10
2016,9,9,12,10,11,12,10,13,9,10,8,9
2017,9,8,11,8,10,10,10,13,11,9,9,9
2018,9,8,9,9,11,12,12,16,11,12,10,8
2019,14,8,11,10,13,13,13,17,13,14,11,10
2020,11,9,10,6,9,10,13,13,12,11,11,8
2021,9,9,12,10,13,14,14,17,14,14,17,10
