Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,161,62,73,85,103,95,75,105,97,132,135,103
2002,98,64,58,76,62,91,78,81,93,72,105,125
2003,112,62,52,68,52,67,65,75,76,88,77,91
2004,112,78,71,54,44,66,52,73,91,73,110,90
2005,135,64,65,77,69,79,81,85,75,100,73,101
2006,97,65,64,57,79,67,87,88,79,65,69,93
2007,94,66,44,73,60,69,73,80,112,94,74,90
2008,126,53,65,58,57,60,55,75,76,80,83,122
2009,151,79,71,98,67,95,49,68,93,72,58,67
2010,66,38,58,48,42,90,71,61,63,56,60,62
2011,75,49,50,52,67,79,52,77,67,54,77,60
2012,48,55,37,53,55,39,57,59,67,48,79,75
2013,69,39,55,51,67,50,46,78,59,74,73,76
2014,72,51,47,69,40,70,62,59,63,82,94,104
2015,111,41,94,93,75,102,77,99,64,102,84,106
2016,112,71,59,44,64,85,62,104,64,94,89,86
2017,80,42,66,40,51,52,40,74,47,93,60,73
2018,79,53,55,50,65,58,78,63,44,101,78,69
2019,91,43,51,72,56,62,51,63,50,47,81,80
2020,93,72,510,305,76,62,67,84,59,75,77,77
2021,73,56,51,33,38,76,55,51,69,48,54,52
