Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,105,49,89,101,62,81,83,72,56,85,73,89
2002,97,72,66,64,62,87,107,75,100,66,98,94
2003,126,75,45,78,75,72,81,72,83,85,81,95
2004,114,77,65,91,61,61,80,78,93,87,86,83
2005,120,85,85,96,64,89,66,70,67,64,79,71
2006,74,79,41,62,60,57,93,64,70,101,51,100
2007,77,73,46,69,54,51,71,106,76,72,80,76
2008,106,66,57,47,53,84,74,107,73,62,93,153
2009,140,99,70,86,92,104,80,114,92,90,112,105
2010,78,61,80,58,64,80,91,103,69,93,105,97
2011,92,46,54,45,43,65,65,78,56,70,104,99
2012,92,64,57,122,102,57,64,54,88,112,74,75
2013,77,58,76,72,64,74,52,84,79,56,75,79
2014,115,50,51,93,58,72,93,110,86,71,64,97
2015,89,58,64,67,65,70,55,104,87,72,97,98
2016,111,54,67,85,57,90,80,88,94,70,71,99
2017,106,96,62,68,61,98,96,139,136,49,92,63
2018,73,46,87,47,56,85,74,76,126,62,81,89
2019,60,37,46,67,87,69,58,79,87,75,103,116
2020,102,43,598,421,103,134,54,64,45,52,82,140
2021,100,59,34,42,52,60,57,40,42,64,74,38
