Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,8,6,4,4,8,7,5,7,13,8,9,7
2002,7,5,5,5,5,6,5,6,9,6,7,7
2003,8,5,4,6,4,6,5,7,8,7,8,8
2004,8,5,5,4,4,5,5,6,12,6,8,8
2005,6,5,5,4,4,5,5,7,14,5,8,8
2006,6,5,4,4,5,5,5,6,8,6,8,9
2007,6,4,4,6,5,5,6,7,10,7,7,7
2008,7,4,4,5,5,6,6,6,9,8,9,11
2009,9,6,6,7,6,6,5,9,9,8,6,9
2010,8,5,5,5,5,6,6,7,9,5,8,9
2011,7,3,4,4,5,6,5,6,10,7,6,6
2012,7,5,4,5,5,5,4,7,9,6,6,7
2013,6,4,3,4,5,4,4,6,10,5,6,7
2014,12,4,5,4,4,4,4,5,7,6,7,6
2015,6,3,5,4,5,5,5,8,9,6,6,6
2016,7,5,5,4,4,5,4,6,6,6,6,8
2017,7,4,5,4,4,5,4,7,8,8,6,6
2018,6,4,4,6,6,4,5,6,9,7,11,7
2019,7,4,3,5,4,4,4,6,6,6,6,6
2020,7,5,38,20,4,5,3,6,6,7,8,5
2021,5,4,4,2,2,4,3,5,6,5,5,5
