Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,10,8,9,9,9,11,10,15,15,10,8,7
2002,10,6,8,8,8,8,10,11,11,8,8,7
2003,8,6,6,7,8,7,8,11,11,8,8,6
2004,7,6,7,7,8,8,8,10,11,9,10,7
2005,8,6,8,8,9,8,9,12,14,9,8,7
2006,9,7,9,8,9,9,9,12,13,10,8,7
2007,8,8,8,9,9,9,10,12,13,9,8,7
2008,7,6,6,7,8,8,7,11,13,8,6,5
2009,6,5,5,6,5,5,6,8,7,6,5,4
2010,6,5,5,5,5,6,7,9,10,7,6,5
2011,5,5,6,6,7,7,7,10,10,7,6,5
2012,5,5,6,5,7,8,7,10,10,7,6,6
2013,9,5,5,6,7,7,8,11,11,8,7,6
2014,6,5,7,7,9,8,8,12,13,9,7,6
2015,7,6,7,7,9,8,9,12,14,11,9,8
2016,8,8,8,9,9,9,9,13,13,11,9,8
2017,9,7,8,8,10,8,9,12,12,9,9,9
2018,8,8,9,10,10,10,11,15,13,13,10,8
2019,9,8,9,10,12,10,11,13,14,15,9,8
2020,9,8,8,4,6,7,10,13,13,11,9,8
2021,10,8,10,8,10,12,11,17,16,14,12,9
