Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,60,28,26,36,38,47,47,38,29,48,44,51
2002,57,29,33,45,39,40,40,36,33,36,36,41
2003,58,32,33,46,37,34,37,63,43,45,41,51
2004,49,28,31,36,42,39,34,36,32,42,32,56
2005,57,33,44,54,35,36,35,35,30,32,23,37
2006,54,26,27,38,36,37,34,38,39,44,55,34
2007,48,30,29,44,36,41,38,50,42,48,35,45
2008,49,32,28,44,36,67,59,45,35,52,48,60
2009,68,42,37,49,42,41,44,34,42,38,47,53
2010,51,25,28,42,39,55,33,35,30,40,39,44
2011,68,30,33,32,41,30,38,42,42,34,43,52
2012,57,33,34,38,39,50,39,67,53,63,47,50
2013,44,47,27,38,45,46,40,49,47,62,31,39
2014,50,39,28,42,32,40,31,37,30,37,32,34
2015,43,25,27,26,32,39,33,37,35,34,32,37
2016,43,22,36,24,45,35,33,40,31,30,33,25
2017,36,25,24,30,41,28,34,47,29,45,29,48
2018,69,26,26,38,39,41,39,31,37,39,43,38
2019,49,30,33,31,37,31,27,52,34,33,25,44
2020,60,30,196,193,37,47,41,35,36,30,37,34
2021,57,27,37,35,33,27,36,32,30,29,24,32
