Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,168,85,86,134,92,108,146,142,133,187,141,160
2002,163,119,106,137,108,128,192,147,147,165,103,151
2003,170,107,100,188,109,142,157,137,99,128,115,122
2004,170,130,137,146,135,110,139,119,119,163,121,140
2005,170,119,145,128,131,109,153,129,104,120,104,133
2006,165,102,131,112,118,128,128,117,139,142,124,127
2007,149,137,99,134,108,97,139,159,157,106,93,119
2008,134,143,100,121,154,129,140,141,150,140,177,174
2009,320,192,189,268,161,174,136,127,141,160,117,160
2010,162,137,119,119,147,186,173,176,121,131,105,156
2011,188,125,123,124,140,126,155,131,120,154,135,163
2012,191,90,108,137,146,135,121,180,125,121,151,137
2013,162,95,118,150,146,140,129,130,157,131,89,128
2014,181,108,114,181,139,159,189,157,130,117,116,174
2015,202,161,183,162,156,146,146,145,180,182,131,135
2016,202,166,134,142,180,133,145,160,137,152,141,129
2017,183,112,142,156,185,184,176,151,201,171,140,177
2018,253,124,137,171,179,187,200,192,228,183,147,203
2019,181,161,167,197,133,154,157,200,177,146,126,197
2020,168,134,856,805,168,243,183,135,128,110,136,157
2021,122,100,65,105,104,87,102,94,106,72,91,126
