Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,226,210,229,264,277,236,259,265,261,231,169,177
2002,244,198,192,241,224,241,264,301,238,217,145,171
2003,197,168,170,219,196,192,238,228,192,199,166,176
2004,236,145,190,224,202,234,261,268,229,221,222,155
2005,262,186,181,241,224,218,248,308,234,238,239,184
2006,271,198,209,251,269,285,291,294,255,243,212,211
2007,244,215,250,286,308,293,317,342,270,283,214,199
2008,300,230,239,331,280,287,276,300,219,265,174,154
2009,234,138,178,172,193,185,179,202,140,151,129,135
2010,208,148,167,177,186,170,181,221,172,164,131,169
2011,175,138,181,215,194,202,201,260,202,193,166,181
2012,194,157,214,219,229,274,233,301,220,218,198,179
2013,215,214,207,252,257,245,278,292,246,248,196,170
2014,241,196,238,266,286,309,293,355,325,296,259,243
2015,295,237,260,275,274,301,326,379,296,280,246,242
2016,297,224,294,292,329,328,353,388,307,332,294,265
2017,301,260,316,316,329,376,359,388,365,396,277,250
2018,286,286,294,365,347,372,401,436,345,345,291,281
2019,378,283,319,376,347,341,410,429,336,316,286,276
2020,340,280,277,196,281,243,309,370,355,339,271,342
2021,332,253,349,365,359,393,414,442,450,441,350,339
