Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,2965,1495,1614,1834,1748,1855,2076,2161,2197,2616,2243,2167
2002,2529,1617,1444,1912,1689,1884,2132,2049,2081,2145,1912,2227
2003,2744,1637,1489,1950,1743,1963,2113,2311,2053,2184,1912,2254
2004,2614,1631,1598,1968,1641,1774,1884,2124,2158,2108,1962,2239
2005,2585,1669,1720,1892,1732,1892,1903,2034,2106,2047,1734,2181
2006,2278,1540,1508,1782,1733,1763,1866,1866,1925,2072,1912,2022
2007,2433,1500,1510,1924,1705,1764,1936,2176,2263,2170,1968,2207
2008,2520,1624,1532,1836,1718,2030,2091,2348,2137,2395,2327,2885
2009,3269,2134,2073,2454,1985,2142,2321,2323,2218,2179,1958,2378
2010,2339,1470,1503,1597,1609,2010,2169,2075,1884,1868,1867,2171
2011,2296,1392,1402,1644,1791,1844,1874,2021,1996,1917,1906,2051
2012,2195,1490,1407,1745,1877,1826,1695,2063,1923,1978,1902,1922
2013,2101,1291,1413,1662,1751,1714,1684,1985,2052,1729,1581,1996
2014,2275,1364,1375,1658,1653,1711,1734,1847,1876,1892,1682,2080
2015,2251,1343,1608,1717,1663,1785,1661,1977,2110,1922,1716,2026
2016,2256,1501,1549,1627,1741,1718,1702,2046,1730,1709,1710,1951
2017,2193,1321,1454,1551,1698,1905,1809,2104,2003,1917,1717,1934
2018,2434,1365,1462,1584,1665,1769,1749,2003,1922,1895,1890,2087
2019,2130,1373,1381,1801,1678,1738,1792,1989,2132,1884,1780,2215
2020,2228,1559,12689,9025,2028,2245,1787,1694,1644,1715,2045,2142
2021,2077,1373,1218,1323,1225,1318,1387,1483,1527,1349,1298,1441
