Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,6,3,5,7,5,5,6,6,6,6,9,6
2002,7,4,4,6,5,6,5,6,7,7,9,7
2003,10,4,4,8,7,5,5,7,8,7,6,7
2004,7,5,6,8,4,5,5,5,7,8,9,9
2005,7,4,6,7,4,6,4,5,7,5,5,7
2006,10,4,4,6,4,4,4,3,6,6,4,6
2007,8,4,4,5,5,4,4,6,6,5,8,6
2008,8,4,5,5,5,6,4,7,6,5,6,9
2009,9,5,7,8,7,7,5,7,7,6,7,8
2010,7,4,6,4,7,5,5,6,5,8,10,7
2011,5,4,4,6,5,5,4,5,5,6,8,5
2012,5,3,5,9,5,4,4,5,5,5,6,5
2013,5,3,6,8,6,5,4,5,5,4,4,5
2014,6,3,3,6,6,4,4,4,5,4,5,7
2015,5,3,4,9,5,4,4,6,6,4,5,7
2016,6,3,5,9,4,5,4,6,5,4,5,6
2017,6,4,3,5,4,5,5,7,7,4,6,5
2018,6,3,4,4,4,5,4,5,6,5,5,6
2019,4,2,3,6,5,4,3,5,6,4,6,6
2020,5,3,38,30,4,4,3,4,7,4,7,7
2021,5,3,3,4,2,3,2,3,8,3,6,4
