Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,6,6,7,10,11,7,8,8,9,8,7,5
2002,7,5,5,9,11,6,6,7,7,6,6,4
2003,6,5,5,7,8,6,5,7,7,6,6,4
2004,5,4,6,9,8,6,7,7,7,6,7,5
2005,10,5,6,9,9,6,6,9,9,6,6,6
2006,7,5,7,9,9,6,7,8,8,6,7,5
2007,5,4,6,9,8,7,7,7,7,6,7,5
2008,7,5,6,10,9,7,6,6,6,5,5,4
2009,4,3,4,6,6,4,4,4,5,4,4,3
2010,4,3,5,8,7,4,4,6,5,3,4,3
2011,4,3,4,8,7,4,4,5,6,4,4,3
2012,5,4,5,9,6,5,4,6,5,4,4,3
2013,5,4,4,8,8,5,5,6,7,5,5,3
2014,5,4,5,9,7,5,5,5,6,5,5,5
2015,5,4,5,8,8,6,7,8,7,5,6,5
2016,6,5,7,10,7,7,6,8,7,6,7,5
2017,6,5,6,9,9,7,7,7,7,7,6,5
2018,5,5,6,10,9,7,6,8,8,6,6,6
2019,6,4,7,9,11,7,6,8,8,6,6,5
2020,6,5,5,4,4,5,5,6,6,6,7,5
2021,6,5,6,7,6,7,8,9,9,10,12,9
