Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,15,7,8,8,9,10,10,10,11,13,14,13
2002,19,10,10,10,10,11,10,11,12,14,11,13
2003,17,10,8,9,10,11,11,15,13,13,12,14
2004,17,14,9,11,11,12,10,16,10,12,12,14
2005,17,11,10,11,12,11,11,12,11,12,9,13
2006,16,9,8,11,11,9,9,11,10,11,12,12
2007,16,10,8,10,12,9,10,11,13,12,10,12
2008,13,9,8,10,9,12,12,11,10,12,13,15
2009,20,17,12,13,10,12,13,12,13,13,12,11
2010,15,8,7,8,9,9,11,10,9,10,10,12
2011,15,8,8,8,9,9,9,12,12,13,12,11
2012,15,11,10,11,11,10,8,13,13,12,12,11
2013,13,9,7,8,9,10,11,12,14,12,8,12
2014,12,8,11,9,8,10,11,12,9,9,9,11
2015,16,8,7,7,8,9,9,10,10,9,9,12
2016,12,9,8,7,10,7,10,16,9,9,8,9
2017,11,7,7,9,10,9,11,12,8,10,10,11
2018,12,8,7,8,9,8,10,11,9,9,12,12
2019,13,9,8,8,8,7,10,10,11,11,10,12
2020,10,8,45,49,10,9,10,7,7,10,10,9
2021,14,14,7,6,6,5,9,7,7,11,6,8
