Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,20,16,15,18,19,18,19,23,19,18,13,14
2002,27,13,13,19,17,22,18,21,18,16,13,14
2003,17,13,13,15,16,15,18,20,18,17,18,15
2004,19,14,15,18,17,23,21,23,17,19,19,16
2005,20,14,15,17,19,17,19,22,17,20,15,15
2006,26,17,15,17,19,17,20,22,18,19,15,16
2007,23,17,15,20,20,16,21,21,18,19,14,17
2008,20,15,16,18,15,18,18,19,17,17,11,10
2009,12,10,10,11,11,11,13,12,11,11,9,9
2010,12,11,10,12,12,12,12,14,13,13,10,12
2011,13,10,10,13,13,12,13,15,15,13,11,10
2012,14,13,14,14,15,15,14,18,14,14,11,11
2013,14,13,10,15,15,15,18,18,14,16,12,13
2014,16,16,14,15,17,16,21,18,16,17,13,15
2015,17,14,13,15,17,17,21,21,15,14,13,15
2016,18,15,13,15,18,17,21,19,16,19,15,15
2017,17,15,17,21,17,19,23,23,17,19,16,16
2018,15,18,18,18,23,21,25,25,20,20,20,19
2019,22,21,18,20,21,21,24,26,19,24,18,18
2020,20,18,13,11,13,14,22,24,20,23,18,17
2021,20,18,17,22,21,18,29,28,26,23,23,22
