Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,84,58,80,96,86,73,75,77,70,83,67,58
2002,68,59,57,76,73,77,83,75,65,77,63,46
2003,95,62,65,76,86,79,94,67,74,78,64,52
2004,87,66,73,85,78,81,99,85,79,83,72,73
2005,83,74,88,90,83,98,100,101,86,101,66,52
2006,85,70,78,86,85,105,93,97,86,105,74,59
2007,106,68,75,99,90,93,98,84,93,86,70,56
2008,84,62,71,77,67,81,70,69,62,58,48,39
2009,64,47,50,56,53,59,62,63,53,52,58,36
2010,50,46,59,64,67,62,62,73,55,66,62,45
2011,58,58,56,74,80,75,74,81,67,64,66,46
2012,71,73,64,84,79,73,69,80,70,62,58,42
2013,64,75,53,75,75,75,62,72,67,58,56,46
2014,62,50,57,68,66,68,71,72,69,83,59,60
2015,70,63,79,80,73,82,75,79,80,82,69,59
2016,68,64,70,82,81,82,94,92,82,77,86,70
2017,74,64,74,74,88,91,87,90,78,89,82,62
2018,90,77,83,88,90,98,84,84,74,86,68,57
2019,74,71,76,90,88,90,100,86,73,76,71,57
2020,75,72,69,59,97,99,89,93,83,109,84,60
2021,68,79,90,89,107,113,104,109,104,110,93,70
