Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,18,20,15,20,33,29,30,19,16,15,11,10
2002,16,18,14,21,31,33,27,20,19,14,11,11
2003,22,16,14,20,32,33,25,19,17,15,11,12
2004,19,13,16,21,34,35,25,20,18,14,11,11
2005,17,14,15,23,37,38,31,22,19,16,12,11
2006,24,16,15,22,31,38,27,20,19,14,14,11
2007,15,14,15,21,35,37,24,21,16,15,11,10
2008,13,16,15,20,38,34,23,21,16,13,11,10
2009,14,13,13,16,32,28,27,17,14,12,9,8
2010,13,11,12,15,33,33,20,16,14,13,9,8
2011,13,12,12,14,29,34,23,17,15,12,10,8
2012,14,13,15,18,33,29,25,20,12,13,10,8
2013,14,13,13,16,28,32,21,19,13,12,10,9
2014,17,13,14,18,31,34,23,18,15,14,11,11
2015,14,14,14,17,34,33,25,18,15,14,12,10
2016,15,13,13,21,37,37,24,18,15,13,12,10
2017,15,13,12,16,35,34,24,19,13,14,11,10
2018,12,15,13,17,35,37,22,21,15,14,13,12
2019,16,16,14,21,34,34,25,20,16,16,12,12
2020,16,17,13,12,34,25,24,19,18,14,12,10
2021,16,16,14,16,25,26,30,21,18,14,12,11
