Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,142,114,95,108,93,89,100,114,86,113,96,68
2002,113,77,84,138,94,91,96,107,108,113,94,83
2003,123,82,84,115,104,98,98,138,120,135,79,75
2004,103,83,92,120,98,95,96,126,100,123,88,76
2005,134,92,105,125,106,105,126,153,134,130,117,96
2006,131,114,97,115,104,123,125,152,119,126,116,89
2007,107,96,108,122,104,129,116,161,119,155,115,84
2008,116,101,100,117,122,92,101,147,104,102,89,72
2009,88,68,72,99,66,71,87,84,66,81,70,62
2010,76,73,94,77,87,67,84,100,69,77,73,80
2011,81,76,74,73,87,71,99,115,95,106,79,60
2012,69,73,86,90,85,83,86,123,100,120,89,70
2013,86,104,87,101,97,84,107,115,95,122,114,85
2014,93,100,105,100,85,106,124,119,137,137,123,90
2015,113,103,98,97,118,112,114,128,127,141,133,101
2016,119,90,107,123,106,103,124,120,106,102,99,69
2017,117,101,102,130,115,120,127,164,127,135,133,114
2018,126,112,99,124,131,135,147,159,109,152,142,116
2019,120,96,110,147,130,120,136,155,135,161,111,80
2020,126,109,97,83,200,153,113,169,155,143,113,74
2021,110,105,121,139,125,127,149,171,155,142,129,108
