Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,50,41,53,58,61,52,57,66,50,54,41,35
2002,50,44,47,61,57,56,54,58,52,46,40,31
2003,39,35,39,45,60,53,54,61,54,50,37,31
2004,48,42,48,50,56,55,52,55,56,49,40,38
2005,44,43,51,55,58,62,59,61,62,48,40,36
2006,55,46,51,55,53,62,55,62,62,49,44,37
2007,54,40,50,56,54,60,52,63,56,52,38,35
2008,52,43,42,51,45,50,47,53,46,48,29,26
2009,38,32,35,40,33,38,46,45,40,37,30,25
2010,30,28,37,44,48,47,43,49,44,38,35,26
2011,36,36,41,46,46,46,53,53,43,48,32,29
2012,40,33,39,42,42,40,46,49,44,39,30,27
2013,45,32,32,41,46,42,42,56,47,44,35,28
2014,40,40,38,48,45,49,48,54,54,52,41,33
2015,47,41,37,47,50,44,49,56,49,45,38,33
2016,37,44,44,45,43,49,56,56,50,46,35,33
2017,49,45,47,50,55,56,55,73,65,49,45,37
2018,46,48,48,50,64,60,62,76,60,56,48,36
2019,51,53,53,57,53,57,64,75,68,64,44,37
2020,55,51,51,39,69,54,56,74,62,62,51,35
2021,54,48,57,62,63,61,66,83,74,64,52,48
