Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,97,107,101,114,123,131,116,99,73,112,102,65
2002,86,79,87,106,127,116,102,99,99,89,92,82
2003,99,77,68,102,101,111,89,115,88,109,85,81
2004,86,73,86,115,101,139,97,111,88,93,95,91
2005,87,91,97,113,126,154,117,110,114,108,104,118
2006,92,78,96,115,100,142,118,113,107,94,98,93
2007,79,82,129,105,130,121,112,101,96,112,86,82
2008,75,82,94,107,128,124,101,104,93,84,69,79
2009,70,63,65,73,103,97,87,80,67,80,71,65
2010,70,55,79,91,97,113,85,90,89,95,74,75
2011,79,61,80,80,99,123,76,102,74,80,83,65
2012,65,58,71,88,113,104,82,95,83,93,92,72
2013,97,83,85,104,113,125,116,113,100,105,108,83
2014,87,78,103,117,135,132,122,112,111,135,92,88
2015,97,95,121,105,121,121,122,106,106,129,122,112
2016,102,93,106,163,128,159,137,123,141,121,101,104
2017,103,76,116,105,122,130,103,103,95,116,114,86
2018,104,97,128,114,149,135,137,128,101,98,104,84
2019,107,83,101,154,118,129,139,126,113,117,92,103
2020,112,91,107,104,212,190,134,127,109,121,90,78
2021,110,97,113,142,168,179,165,148,135,122,124,95
