Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,76,60,42,114,100,90,95,102,79,91,72,56
2002,73,61,62,86,77,78,81,86,62,81,67,47
2003,69,53,70,71,80,69,71,78,65,76,64,52
2004,67,57,74,77,74,76,83,94,73,80,71,63
2005,76,67,72,83,86,94,77,97,85,84,73,60
2006,77,71,81,73,81,80,83,112,85,89,88,67
2007,81,66,78,92,87,96,92,96,87,94,81,58
2008,86,61,65,84,69,83,74,91,65,73,61,47
2009,55,43,47,63,57,52,59,74,60,63,57,39
2010,45,41,59,69,67,66,65,75,64,73,71,51
2011,50,42,53,71,76,71,62,85,72,76,59,50
2012,54,59,66,70,79,77,71,78,66,64,58,49
2013,55,58,56,74,83,79,72,92,66,69,68,45
2014,61,55,65,79,84,83,88,98,85,91,72,52
2015,66,52,67,81,96,90,79,98,77,78,86,63
2016,61,64,82,91,82,78,88,86,74,70,67,68
2017,68,65,73,80,85,84,89,118,84,79,79,58
2018,77,63,75,88,91,103,80,105,77,107,80,68
2019,75,72,78,86,91,85,89,96,82,79,89,65
2020,79,72,73,69,93,127,95,117,103,103,93,70
2021,73,73,87,114,98,153,113,127,101,97,101,77
