Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,125,117,134,166,164,146,167,136,147,122,79,76
2002,102,75,99,134,123,111,119,122,97,100,73,61
2003,90,75,85,119,92,87,89,111,96,95,81,55
2004,106,63,100,102,95,101,89,97,96,111,72,67
2005,100,83,95,111,111,125,121,124,112,106,86,65
2006,96,90,130,106,124,118,122,122,113,127,86,75
2007,119,90,127,112,106,125,112,130,134,112,81,61
2008,105,85,82,115,130,122,102,103,111,109,79,62
2009,79,59,86,88,118,90,90,97,77,92,68,56
2010,69,70,103,128,106,107,117,110,88,90,73,56
2011,73,96,100,101,93,118,85,118,99,103,77,70
2012,83,76,94,93,100,105,112,92,73,99,78,61
2013,98,77,81,103,118,117,94,113,104,104,83,70
2014,89,105,99,127,109,105,116,110,116,112,92,68
2015,110,102,124,153,130,137,128,135,126,124,127,98
2016,105,109,105,121,124,109,109,116,127,157,103,69
2017,117,100,114,116,113,142,145,118,109,99,94,76
2018,95,102,115,111,109,115,128,123,112,116,92,75
2019,95,85,108,132,108,123,118,125,103,116,139,83
2020,111,100,96,86,216,183,132,134,114,122,102,68
2021,112,96,126,114,108,155,147,135,123,121,101,82
