Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,56,29,34,52,51,45,42,41,42,42,32,25
2002,37,27,31,42,38,40,35,40,33,34,28,28
2003,52,25,26,38,35,36,41,33,32,34,26,20
2004,32,26,29,35,34,34,31,35,33,33,30,25
2005,40,27,32,37,43,40,38,36,39,34,30,23
2006,32,27,32,36,42,41,37,37,36,40,35,26
2007,38,30,37,42,44,42,38,40,40,40,32,25
2008,36,29,32,36,37,37,30,35,32,35,27,24
2009,26,25,31,29,31,31,26,31,30,32,26,19
2010,27,24,29,36,36,34,32,31,30,32,26,24
2011,25,28,29,36,37,35,26,33,29,30,26,20
2012,30,25,34,30,41,35,31,43,30,27,24,21
2013,25,20,29,31,36,31,39,49,41,37,33,25
2014,32,26,32,47,42,35,37,34,36,41,33,28
2015,31,29,37,45,37,42,33,36,37,47,36,30
2016,33,31,42,38,46,41,37,38,37,42,35,27
2017,35,27,40,40,43,40,42,42,40,39,32,26
2018,39,32,37,41,48,40,41,45,43,46,38,32
2019,35,31,34,43,45,41,38,46,41,48,36,34
2020,38,32,37,35,48,41,42,47,38,43,43,33
2021,40,36,42,49,40,43,48,49,40,41,43,35
