Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,50,41,44,57,47,49,54,51,45,41,32,29
2002,37,35,34,42,32,37,39,32,29,32,27,25
2003,35,25,28,37,31,33,32,34,32,35,31,28
2004,42,32,31,39,33,32,40,33,34,43,29,32
2005,32,35,37,47,39,40,43,34,40,43,34,31
2006,38,40,43,51,43,45,44,46,46,42,37,34
2007,41,38,42,44,42,44,48,41,41,40,36,39
2008,38,34,38,40,39,38,38,38,35,37,30,27
2009,24,28,22,24,28,23,26,24,26,26,28,25
2010,33,28,36,42,31,30,36,27,27,37,30,27
2011,33,36,36,39,35,41,46,40,41,45,37,33
2012,39,37,39,42,44,47,56,42,42,46,39,37
2013,40,41,42,54,46,46,47,46,52,55,45,41
2014,47,46,47,56,42,50,56,55,46,54,43,41
2015,44,51,50,63,57,50,64,55,55,61,53,51
2016,60,55,66,71,56,54,75,52,56,58,52,54
2017,50,56,55,72,59,66,70,66,76,75,58,57
2018,69,69,76,83,83,80,86,78,84,88,73,72
2019,70,71,79,91,78,80,81,68,77,83,65,58
2020,72,70,56,60,54,59,77,57,71,80,63,60
2021,71,74,87,112,89,91,111,90,116,128,106,112
