Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,52,41,40,46,41,42,50,44,48,39,28,27
2002,43,31,33,42,29,29,49,35,29,35,27,23
2003,33,29,27,37,29,29,32,34,27,36,24,25
2004,38,34,32,39,30,27,46,27,32,41,27,33
2005,38,39,38,53,31,35,45,37,39,42,34,30
2006,40,39,44,54,36,42,56,45,48,42,34,39
2007,50,42,43,44,36,43,52,38,44,45,36,36
2008,55,38,39,44,36,35,44,36,38,41,28,28
2009,32,27,24,23,25,23,25,24,26,27,23,21
2010,32,24,26,31,29,27,34,29,26,32,27,23
2011,28,30,33,37,33,35,45,35,31,36,31,29
2012,35,35,42,34,33,32,42,35,34,38,32,31
2013,32,33,32,39,31,37,38,41,39,44,33,28
2014,41,36,40,46,48,45,52,51,41,44,37,38
2015,46,52,47,48,46,46,57,49,51,53,45,46
2016,55,51,55,58,52,53,66,53,53,58,52,49
2017,66,54,52,56,50,57,63,62,69,73,59,61
2018,81,68,73,77,80,79,81,80,89,91,81,75
2019,78,76,75,84,66,71,77,75,73,75,61,53
2020,71,70,53,55,51,54,71,64,63,73,62,62
2021,77,70,81,93,76,72,94,83,86,104,91,88
