Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,94,109,93,111,105,97,112,96,101,103,84,72
2002,92,81,82,94,85,90,89,90,93,101,78,66
2003,74,73,85,81,83,85,88,70,83,80,62,66
2004,80,83,69,88,86,73,107,76,103,95,60,81
2005,90,91,82,111,88,79,102,81,89,76,72,74
2006,90,72,84,108,88,95,87,86,83,86,91,91
2007,95,83,95,104,92,88,105,89,97,93,74,72
2008,95,74,78,93,75,78,94,64,63,74,58,59
2009,66,47,47,56,45,41,50,56,54,52,44,48
2010,102,40,53,91,64,54,79,63,75,73,59,58
2011,64,56,62,76,80,79,92,76,80,72,76,79
2012,92,69,81,84,79,72,78,68,78,86,75,64
2013,94,71,74,95,91,72,79,74,69,80,72,68
2014,72,74,84,96,98,105,108,122,82,97,84,101
2015,112,106,100,123,122,114,128,106,107,122,117,101
2016,120,116,115,122,101,103,127,113,107,116,107,101
2017,98,105,109,128,117,132,141,112,111,108,106,116
2018,134,107,113,132,130,140,161,138,143,144,139,134
2019,149,129,145,139,132,144,154,133,139,160,124,137
2020,170,146,124,104,108,139,173,131,140,157,125,121
2021,146,160,195,227,195,208,258,210,207,241,181,201
