Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,43,43,39,39,37,29,32,28,26,32,29,22
2002,36,23,25,32,29,22,26,30,24,32,26,22
2003,34,24,22,30,35,29,26,32,28,33,27,24
2004,41,31,27,36,38,28,44,35,40,40,29,29
2005,50,40,41,52,39,40,40,40,41,41,40,45
2006,47,43,53,55,45,46,46,43,47,45,45,36
2007,50,50,49,55,48,50,50,51,52,61,50,43
2008,51,43,46,40,43,29,32,31,29,36,24,20
2009,24,22,22,28,21,17,18,18,23,26,18,18
2010,23,26,23,43,38,30,32,27,31,35,36,28
2011,31,30,32,34,27,37,35,31,36,36,26,29
2012,26,26,29,36,28,29,31,33,38,38,35,29
2013,40,36,42,40,34,33,33,41,35,46,43,43
2014,49,56,51,63,50,45,45,55,56,49,45,40
2015,55,55,58,65,47,44,54,52,48,65,53,49
2016,56,59,59,71,54,52,56,54,57,54,52,45
2017,53,61,55,60,56,48,59,69,58,75,55,52
2018,65,61,75,69,62,61,62,81,75,83,67,67
2019,66,68,74,75,69,62,65,64,61,68,63,63
2020,75,60,62,42,50,72,80,70,72,84,59,55
2021,78,78,104,91,118,157,157,121,110,121,101,102
