Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,210,155,164,174,177,178,195,187,150,170,135,108
2002,137,132,164,175,145,122,164,151,129,133,94,95
2003,129,105,107,133,127,107,106,141,117,140,110,94
2004,125,108,125,142,140,121,141,127,132,142,105,128
2005,148,132,146,178,154,146,176,144,160,169,125,117
2006,139,135,158,175,168,152,160,164,193,164,153,133
2007,159,134,155,154,147,132,156,150,167,146,143,169
2008,171,151,168,158,146,141,137,138,118,132,106,103
2009,82,83,75,81,97,92,89,81,90,105,82,66
2010,100,89,100,106,101,74,109,112,105,98,107,81
2011,95,78,102,118,103,127,135,132,135,126,113,122
2012,109,130,147,138,145,123,132,168,173,171,139,117
2013,113,124,155,154,172,162,157,177,168,201,159,119
2014,140,149,159,207,197,189,207,206,188,200,163,155
2015,191,197,199,230,222,203,234,220,232,253,218,204
2016,233,232,253,251,251,213,267,262,231,210,254,199
2017,237,233,260,259,210,243,239,279,253,279,232,207
2018,251,245,285,304,271,292,291,284,278,292,280,264
2019,305,252,289,322,293,252,300,271,265,293,250,210
2020,247,250,211,202,228,241,254,241,240,267,236,211
2021,244,276,298,333,330,337,420,342,374,437,415,365
