Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,42,44,36,45,36,33,37,28,29,38,33,26
2002,30,34,24,38,32,27,29,29,26,34,25,22
2003,33,23,22,33,28,31,28,27,27,32,26,26
2004,29,29,29,38,41,28,40,31,34,36,31,32
2005,32,31,35,44,34,34,35,38,36,39,35,35
2006,42,37,54,53,45,39,41,46,50,50,49,41
2007,51,41,49,69,51,50,48,58,55,54,53,52
2008,55,44,45,47,44,33,39,38,29,33,30,25
2009,25,26,24,24,24,20,21,22,24,22,21,19
2010,25,29,27,38,32,24,28,26,27,34,31,27
2011,26,28,33,37,31,34,40,36,39,41,27,28
2012,28,26,33,40,38,31,32,32,35,37,34,29
2013,34,36,39,43,42,36,37,34,34,48,36,35
2014,41,38,44,52,48,49,47,55,49,56,45,48
2015,47,54,56,70,62,51,66,55,59,64,50,52
2016,57,52,62,79,66,58,64,57,62,65,57,52
2017,64,54,59,75,64,63,76,66,75,80,59,59
2018,86,69,68,87,65,68,84,76,84,102,74,74
2019,93,73,86,102,80,79,93,75,75,80,64,65
2020,80,71,64,85,65,56,72,67,67,71,62,72
2021,81,83,87,139,108,104,143,121,107,128,101,122
