Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,110,81,84,88,85,106,104,90,90,78,64,53
2002,72,66,62,79,67,62,73,70,60,74,60,49
2003,60,54,64,70,66,69,67,81,57,75,52,54
2004,73,65,66,82,74,66,83,63,78,79,67,74
2005,73,64,72,84,68,77,91,89,87,94,78,69
2006,92,85,89,104,81,86,98,92,93,82,73,75
2007,83,79,81,86,92,103,95,90,94,106,79,78
2008,82,73,72,85,89,82,73,82,71,70,53,58
2009,61,54,49,65,61,44,53,47,42,49,38,36
2010,55,44,51,71,60,62,65,62,56,59,54,44
2011,60,53,61,63,67,71,78,73,69,82,58,65
2012,76,62,82,72,76,80,78,77,75,81,65,68
2013,63,77,90,100,92,95,81,106,86,98,78,71
2014,85,90,95,107,100,96,124,120,113,114,104,115
2015,116,131,120,147,129,127,136,110,108,130,99,106
2016,133,109,152,130,117,106,120,109,114,109,110,101
2017,109,111,110,125,115,135,131,127,144,140,135,123
2018,134,136,135,145,156,148,143,157,157,167,161,156
2019,156,148,152,169,154,160,167,155,155,168,137,121
2020,157,144,116,110,115,126,181,126,131,134,120,106
2021,123,129,170,222,195,217,243,216,223,220,212,193
