Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,5.6,4.5,3.6,4.1,3.0,3.1,3.6,3.2,2.8,3.6,3.1,2.5
2002,3.3,2.6,2.6,3.4,2.9,2.4,2.8,3.2,2.4,3.0,2.6,2.1
2003,3.6,3.5,2.5,3.1,2.6,3.5,3.3,2.8,2.4,2.6,2.4,2.1
2004,3.2,2.8,2.7,3.2,3.2,2.5,3.7,3.4,3.1,3.6,2.7,2.9
2005,4.4,3.1,3.1,4.2,2.9,3.4,4.0,4.1,4.1,4.0,3.6,3.5
2006,3.9,3.7,4.1,4.8,3.9,3.6,3.9,4.2,3.8,4.2,3.7,3.3
2007,4.0,3.8,3.6,4.5,4.0,4.5,4.3,4.0,4.0,4.4,4.0,3.4
2008,4.2,3.4,3.4,3.7,3.4,2.5,3.0,3.2,2.2,2.6,2.5,2.0
2009,2.5,2.3,2.3,2.2,1.8,1.6,1.8,1.9,2.0,2.2,2.1,1.4
2010,2.4,2.8,2.1,2.6,2.4,2.2,2.7,3.0,2.5,3.4,3.1,2.4
2011,2.4,2.4,2.6,2.7,2.2,2.8,3.3,2.9,3.4,3.4,3.3,2.8
2012,3.3,2.6,3.3,3.4,2.6,3.0,3.3,3.3,2.8,3.2,3.2,3.0
2013,3.6,3.7,3.5,3.9,3.2,2.8,2.9,3.3,2.9,3.7,3.1,2.5
2014,3.4,4.0,3.4,3.9,3.6,4.0,3.4,4.6,4.2,4.3,3.7,3.4
2015,4.1,4.2,3.8,5.2,3.7,2.9,4.5,4.1,3.6,4.9,3.7,3.7
2016,4.9,3.5,4.1,4.1,3.6,3.6,4.9,4.5,4.3,4.4,4.0,3.7
2017,4.0,3.8,3.7,4.5,3.4,4.3,5.2,4.7,4.4,4.9,4.1,4.2
2018,4.8,4.1,4.3,5.7,4.1,5.1,6.1,5.6,4.9,6.3,4.7,4.7
2019,6.7,5.3,4.9,5.4,5.1,4.5,5.5,5.2,5.4,4.9,4.5,4.3
2020,5.2,4.8,3.9,4.3,4.2,4.3,5.3,5.7,5.1,5.7,4.5,5.0
2021,5.6,5.8,5.7,6.8,6.8,6.1,7.7,8.1,6.6,7.5,6.2,6.7
