Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.0,4.0,3.4,3.7,3.4,3.1,3.8,3.5,3.4,3.3,2.6,2.4
2002,3.2,2.8,2.9,3.4,3.0,2.9,2.9,2.6,2.8,2.6,2.3,2.0
2003,2.3,2.3,2.2,2.4,2.5,2.4,2.5,2.5,2.6,2.6,2.3,2.2
2004,2.8,2.6,2.4,3.0,2.7,2.6,2.8,2.8,2.6,2.5,2.0,2.3
2005,2.8,2.7,2.9,3.3,2.8,3.0,3.3,3.0,3.1,2.7,2.5,2.5
2006,3.4,2.6,3.3,4.1,3.3,3.6,3.2,3.4,3.4,3.2,2.9,3.0
2007,3.5,3.1,3.6,3.8,3.1,3.3,3.6,3.4,3.5,3.2,2.7,2.9
2008,3.6,3.0,2.9,3.5,3.3,3.2,3.4,3.3,2.7,2.8,2.2,2.1
2009,2.6,2.2,2.1,2.0,1.7,2.0,2.2,2.0,2.1,2.2,1.7,1.8
2010,2.1,1.8,2.1,2.5,2.3,2.2,2.4,2.4,2.3,2.4,2.2,1.7
2011,2.4,2.1,2.5,2.7,2.4,2.6,3.5,2.5,2.6,3.0,2.0,2.2
2012,2.8,2.1,2.4,2.8,2.6,2.5,3.0,2.6,2.7,2.6,2.1,2.2
2013,2.6,2.5,2.4,2.7,2.6,2.5,2.6,2.7,2.8,3.0,2.2,2.2
2014,2.6,2.8,2.7,3.2,3.2,3.3,3.3,3.9,3.9,3.6,2.7,3.1
2015,3.5,3.6,3.3,4.1,3.7,3.3,4.0,3.8,3.9,3.8,3.1,3.1
2016,3.6,3.8,3.9,3.9,3.5,3.7,4.0,3.8,3.8,3.5,3.3,3.3
2017,3.7,3.8,3.7,4.2,3.8,4.0,4.3,4.1,4.1,3.2,3.2,3.2
2018,3.8,4.2,4.0,4.1,4.3,4.2,4.9,4.8,4.8,4.5,3.9,3.8
2019,4.1,4.5,4.5,4.6,4.3,4.4,5.1,5.3,5.4,5.2,4.2,3.9
2020,4.6,4.4,4.0,4.2,3.4,3.4,4.8,4.8,4.9,4.5,4.2,4.0
2021,5.1,5.1,5.8,7.6,5.8,5.8,7.1,7.8,7.6,6.7,5.7,5.7
