Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.9,4.9,4.3,4.4,3.6,3.5,4.0,2.5,2.7,3.4,2.8,2.3
2002,3.4,3.4,3.0,3.9,3.6,3.3,2.7,3.1,2.3,3.2,2.7,2.4
2003,3.0,2.4,2.0,2.8,2.6,2.8,2.6,2.3,2.2,2.7,2.4,2.3
2004,2.6,2.6,2.6,3.0,3.4,3.0,3.6,2.8,2.9,3.0,2.4,2.8
2005,2.5,2.8,2.7,3.4,2.8,3.4,3.1,2.9,3.1,3.2,3.1,3.0
2006,3.5,2.8,3.4,4.2,3.7,3.4,3.1,3.6,3.3,3.4,3.6,3.4
2007,4.0,3.7,3.9,4.7,4.3,4.7,3.8,3.7,3.9,4.3,3.9,3.6
2008,3.9,3.6,3.8,3.6,3.3,2.8,3.1,3.1,2.2,2.3,1.9,1.7
2009,1.9,2.0,2.2,1.8,2.0,1.9,1.8,2.1,1.7,2.1,1.7,1.6
2010,2.3,2.3,2.3,2.7,2.6,2.1,2.7,2.9,2.1,3.5,2.6,2.3
2011,2.3,2.4,2.4,2.6,2.6,2.7,2.6,2.6,2.6,2.8,2.1,2.0
2012,2.3,2.0,2.5,2.8,2.5,2.8,2.9,2.6,2.8,3.0,2.4,2.4
2013,2.8,2.9,2.7,3.6,3.0,3.0,2.9,2.8,2.7,3.5,2.7,2.7
2014,3.0,3.3,3.2,4.0,3.6,4.5,4.3,4.3,3.7,4.4,3.4,3.4
2015,3.6,4.3,4.2,5.1,4.1,4.0,4.7,4.0,3.7,4.5,3.6,3.4
2016,4.1,4.0,4.3,5.0,4.6,4.6,5.5,4.3,4.2,4.6,3.6,4.1
2017,4.2,4.3,3.5,4.8,4.3,4.3,4.4,4.9,4.4,5.3,4.0,4.0
2018,4.5,5.3,5.3,5.0,4.6,4.9,4.6,5.2,5.3,5.1,4.6,4.7
2019,5.2,5.1,5.5,5.6,5.2,5.2,5.5,5.2,5.2,4.6,4.0,3.9
2020,4.1,4.2,3.7,4.2,3.8,3.8,4.4,4.1,3.9,4.1,3.4,3.8
2021,5.0,5.0,5.7,7.3,7.9,8.1,8.4,7.4,6.5,7.1,6.4,6.9
