Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.9,3.7,2.0,4.3,3.6,3.4,4.2,3.3,2.9,4.1,2.7,2.5
2002,3.0,2.4,2.6,3.1,2.7,2.4,3.0,2.8,2.3,3.2,2.4,1.9
2003,2.7,2.1,2.3,2.8,2.7,2.2,2.7,2.6,2.3,2.9,2.4,2.3
2004,2.7,2.5,2.3,2.8,2.7,2.7,3.4,3.1,2.7,3.1,2.4,2.7
2005,3.1,2.9,2.8,3.4,2.9,2.9,3.4,3.3,3.1,2.9,3.0,2.8
2006,3.3,2.9,3.5,3.6,3.1,3.1,3.5,3.8,3.2,3.4,3.0,3.0
2007,3.3,3.0,3.5,3.9,3.4,3.1,3.6,3.4,3.5,3.5,3.3,3.2
2008,3.3,2.6,2.9,3.5,3.2,2.8,3.1,2.9,2.4,2.8,2.4,1.9
2009,1.7,2.2,1.9,1.9,1.8,1.7,1.9,2.2,2.0,2.0,1.7,1.9
2010,2.2,1.9,2.2,2.7,2.4,2.4,2.9,2.7,2.3,3.2,2.6,2.5
2011,2.4,2.6,3.2,2.9,2.8,2.3,3.0,2.9,3.2,3.3,2.8,3.0
2012,3.1,2.4,3.1,3.4,3.1,3.1,3.1,2.8,2.7,3.1,2.9,2.6
2013,2.7,2.7,2.8,3.3,3.1,2.9,2.6,2.8,2.6,2.9,2.5,2.6
2014,2.3,3.0,3.2,3.6,3.7,3.6,4.3,4.7,4.2,4.3,3.8,3.6
2015,3.3,3.6,3.7,4.6,3.8,3.8,4.5,4.6,4.6,4.8,4.9,4.5
2016,4.3,4.5,5.6,4.8,4.2,4.1,4.8,3.9,3.9,3.5,3.7,3.7
2017,3.5,3.8,3.8,4.4,3.6,3.9,4.8,4.8,4.1,3.7,4.2,3.9
2018,4.4,4.0,4.2,4.3,4.3,4.5,4.5,4.8,4.9,4.6,4.6,4.6
2019,4.3,4.6,4.7,4.5,4.2,4.1,4.3,4.5,4.8,4.8,4.6,3.9
2020,4.5,4.2,4.6,4.3,4.7,5.3,5.6,5.2,4.9,4.9,4.7,4.2
2021,5.1,5.5,6.0,7.5,7.2,9.2,9.1,8.6,7.3,7.4,6.4,7.0
