Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,4.7,3.6,3.5,4.9,5.1,4.2,4.3,3.9,3.0,3.9,2.7,2.7
2002,4.3,2.4,2.4,3.2,3.1,2.9,3.3,2.9,2.2,3.2,2.8,2.1
2003,3.1,2.7,2.2,3.3,3.3,3.0,3.5,2.9,2.6,3.2,2.9,2.3
2004,2.8,2.7,2.7,3.7,3.3,2.7,3.5,3.0,2.7,3.4,2.6,2.5
2005,3.0,2.6,2.7,3.7,3.6,3.4,3.5,3.5,3.2,3.6,3.2,2.6
2006,4.1,2.9,3.2,4.4,4.0,3.5,3.9,3.9,3.0,3.8,3.8,3.1
2007,4.5,3.3,3.3,3.8,3.9,3.8,4.1,3.6,2.7,3.6,3.2,2.7
2008,3.6,2.8,2.8,3.7,3.8,3.4,3.9,3.3,2.3,3.2,2.8,2.3
2009,2.4,2.3,2.2,2.7,2.7,2.7,3.3,2.6,2.1,2.4,2.3,2.0
2010,2.8,2.3,2.2,4.1,3.3,2.7,3.4,3.0,2.3,3.1,2.6,2.2
2011,3.2,2.7,2.8,3.4,3.5,3.3,3.5,3.0,3.0,3.1,2.6,2.4
2012,3.5,2.8,2.8,3.5,3.2,3.2,3.0,3.6,2.6,3.1,2.5,2.2
2013,3.4,2.6,2.7,3.2,3.5,3.8,3.1,3.2,2.9,3.1,3.1,3.6
2014,2.7,2.7,2.9,3.5,4.0,3.8,4.2,3.6,2.6,3.7,3.0,3.8
2015,3.0,3.6,3.5,3.9,4.7,3.9,4.6,3.9,3.2,3.9,3.7,3.8
2016,4.6,3.8,3.8,6.1,4.8,4.6,4.6,4.3,3.6,4.0,3.9,3.9
2017,3.9,4.0,3.9,5.1,4.9,4.5,4.8,4.4,3.6,4.0,4.0,4.3
2018,5.6,4.0,4.6,6.8,5.5,5.3,5.6,4.5,4.5,4.8,4.6,4.4
2019,4.7,4.2,4.4,4.9,5.7,5.2,4.6,4.7,4.4,4.6,4.0,4.3
2020,4.6,4.2,3.5,4.5,4.6,4.4,4.9,4.2,4.9,4.7,4.2,4.3
2021,4.6,5.1,6.0,7.1,7.2,6.9,8.5,7.0,7.1,6.3,6.2,6.9
