Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.3,3.3,3.7,3.8,3.5,3.6,4.3,3.5,3.0,2.8,2.5,2.2
2002,2.9,2.2,2.8,2.5,2.1,2.3,2.8,2.5,2.2,2.5,1.9,1.9
2003,2.4,2.2,2.0,2.3,2.2,2.1,2.3,2.3,2.0,2.8,2.1,1.8
2004,2.6,2.7,2.3,2.6,2.3,2.1,2.5,2.3,2.4,2.6,1.8,2.1
2005,2.7,2.7,2.4,2.9,2.5,2.5,2.9,2.7,2.8,2.8,1.9,1.8
2006,2.8,2.7,3.0,3.8,2.5,2.7,3.1,3.4,3.2,2.6,2.6,2.3
2007,3.2,2.6,3.1,3.0,2.6,3.2,3.1,2.8,3.1,2.7,2.3,2.6
2008,3.3,3.0,3.0,3.1,3.0,2.7,3.0,2.9,2.3,2.3,1.5,1.6
2009,1.8,2.0,1.5,2.1,1.9,1.6,1.9,1.6,1.6,1.9,1.7,1.2
2010,1.8,2.0,1.8,2.3,2.0,2.0,2.1,2.0,1.7,2.2,1.9,1.5
2011,2.4,2.7,2.6,2.8,2.3,2.4,3.3,2.6,2.5,2.7,2.0,1.8
2012,2.5,2.5,3.0,2.6,2.6,2.7,3.0,2.6,2.5,2.9,2.4,2.5
2013,2.6,2.9,2.5,3.1,2.5,3.0,2.9,3.2,3.1,3.4,2.8,2.2
2014,3.0,2.5,3.4,3.3,3.0,3.0,3.4,4.1,3.1,3.3,2.5,2.7
2015,4.0,3.5,3.7,4.1,3.6,3.9,4.3,4.0,3.9,3.6,3.5,3.5
2016,4.1,4.3,4.5,3.5,3.1,3.6,4.0,4.0,3.8,3.7,3.7,3.5
2017,3.7,4.1,4.0,4.4,3.6,4.2,4.5,4.4,4.6,4.7,3.9,4.0
2018,4.4,4.5,5.3,5.4,5.1,4.9,5.3,5.1,5.4,5.5,5.5,4.8
2019,4.9,5.0,5.1,5.8,5.1,5.4,6.1,4.6,4.6,4.4,3.8,3.1
2020,3.8,4.0,3.7,3.7,3.5,4.2,5.3,4.2,3.9,4.5,4.1,4.0
2021,4.4,4.7,5.6,6.3,5.4,5.7,7.1,7.0,6.6,7.8,6.9,7.0
