Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,20,24,20,19,20,17,22,19,18,20,20,18
2002,18,22,19,20,19,19,20,20,21,19,19,19
2003,24,20,19,19,19,19,19,19,19,20,19,21
2004,21,17,22,20,20,20,19,20,20,19,19,20
2005,19,18,20,22,22,21,24,21,22,22,22,21
2006,28,22,20,21,17,21,21,20,21,20,24,21
2007,18,19,20,20,20,20,19,20,18,20,19,18
2008,15,21,20,20,21,18,18,20,19,18,19,20
2009,17,18,17,16,17,14,21,17,16,17,17,16
2010,16,14,15,16,18,17,16,15,16,18,16,16
2011,16,16,16,15,16,17,18,17,17,16,16,17
2012,18,18,19,19,19,15,19,20,14,18,16,17
2013,17,18,17,17,16,16,16,19,17,17,17,18
2014,21,17,18,19,17,18,18,18,18,19,18,21
2015,18,18,18,17,19,18,19,18,19,18,19,19
2016,19,17,17,22,20,20,18,18,19,17,19,18
2017,19,18,17,17,19,18,19,18,17,18,18,18
2018,15,20,18,17,19,20,17,20,19,18,20,21
2019,20,21,20,22,18,19,20,19,21,21,19,20
2020,20,21,19,12,19,9,19,19,22,18,19,17
2021,19,19,20,17,10,9,24,21,21,19,20,19
