Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,176,163,177,165,175,167,181,156,158,197,186,189
2002,131,176,154,157,151,151,178,164,174,157,147,149
2003,175,149,129,152,147,150,135,147,150,136,146,145
2004,147,130,170,149,163,153,160,165,135,149,157,151
2005,154,168,187,197,170,220,161,186,158,179,148,157
2006,168,178,151,170,170,182,159,168,191,153,177,177
2007,159,137,155,169,176,164,170,149,182,189,164,155
2008,185,166,162,132,123,136,136,141,134,135,107,133
2009,155,122,130,115,103,98,113,111,135,109,101,118
2010,87,121,108,109,132,124,115,117,131,126,143,133
2011,115,121,126,131,134,125,126,126,106,115,119,98
2012,134,126,149,151,142,159,139,139,144,134,161,124
2013,127,137,144,139,141,134,132,139,141,144,175,147
2014,162,149,153,149,157,188,181,165,169,176,171,188
2015,179,174,161,169,217,178,178,167,185,185,165,187
2016,150,167,172,182,185,208,238,221,216,210,171,249
2017,241,202,210,199,214,198,204,212,190,198,192,273
2018,186,236,219,197,193,180,187,189,206,192,207,174
2019,178,176,169,187,178,193,197,172,194,197,205,197
2020,187,192,166,153,215,208,202,220,201,215,192,194
2021,194,206,215,241,256,251,240,255,268,247,241,248
