Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,145,121,123,116,137,115,99,107,101,101,94,104
2002,84,131,99,98,100,107,97,108,114,98,100,110
2003,132,96,87,101,92,100,117,111,106,111,107,103
2004,104,92,119,113,104,99,110,107,99,111,114,138
2005,105,124,109,117,122,120,107,107,124,109,120,102
2006,118,116,130,102,121,119,136,101,101,102,106,108
2007,113,121,121,120,119,108,115,119,118,124,117,119
2008,97,100,107,107,86,108,93,102,91,86,81,98
2009,65,92,66,73,69,75,74,85,89,85,95,92
2010,95,88,94,94,103,85,104,98,95,96,93,92
2011,98,104,115,104,108,98,105,100,116,120,109,117
2012,120,105,124,114,124,128,114,138,100,105,105,108
2013,107,97,92,105,97,84,93,100,101,75,107,113
2014,79,113,107,110,100,111,106,91,90,106,123,97
2015,98,95,102,110,105,114,109,105,119,116,114,119
2016,110,123,113,111,143,109,108,113,111,121,126,114
2017,141,99,138,124,143,140,129,132,134,120,108,123
2018,122,163,140,141,142,148,152,160,151,137,129,138
2019,131,128,129,145,131,123,182,143,147,153,158,150
2020,145,149,115,99,245,174,137,135,115,109,133,124
2021,113,133,121,143,188,178,161,157,150,142,145,157
