Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,52,47,53,54,48,45,42,53,45,46,46,43
2002,45,44,39,42,43,46,44,45,42,40,40,41
2003,39,40,38,40,41,39,42,38,41,42,40,46
2004,44,42,44,45,42,39,52,41,41,40,42,48
2005,41,41,44,43,47,48,48,44,55,64,55,54
2006,52,55,55,50,51,53,53,55,51,51,47,46
2007,49,43,49,52,47,48,47,46,47,49,45,44
2008,46,45,42,42,37,42,38,39,38,37,36,36
2009,36,38,35,34,35,33,34,33,33,30,35,34
2010,27,31,34,35,38,33,32,33,34,32,37,34
2011,29,32,35,31,39,35,35,34,36,38,38,38
2012,38,38,39,39,39,38,37,34,35,37,35,37
2013,36,41,38,38,39,49,42,43,43,33,41,39
2014,50,32,37,38,38,40,42,44,39,42,40,44
2015,40,39,41,45,45,39,43,39,46,43,48,55
2016,44,47,44,43,42,41,42,41,41,44,41,44
2017,45,44,48,41,42,45,47,47,47,43,48,43
2018,40,46,48,47,48,47,47,54,48,54,49,46
2019,48,49,49,49,48,53,48,45,48,46,49,47
2020,48,49,41,35,65,60,53,60,53,57,55,49
2021,51,46,53,57,63,72,58,57,66,58,59,55
