Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,31,29,29,29,30,31,29,30,28,30,26,27
2002,31,25,27,27,29,26,33,25,22,27,26,28
2003,25,27,24,24,24,26,26,26,23,27,28,31
2004,27,29,27,27,27,26,26,27,29,29,28,26
2005,28,26,29,31,27,29,29,27,35,27,28,24
2006,28,32,30,27,29,27,29,27,28,26,25,26
2007,28,25,25,25,28,28,28,29,28,27,31,27
2008,22,25,28,25,24,24,24,25,26,24,21,22
2009,28,25,21,25,22,21,20,22,21,28,23,21
2010,18,24,26,25,26,22,24,21,23,23,22,22
2011,20,22,23,21,19,21,22,20,21,21,22,23
2012,23,22,22,22,22,25,20,22,24,18,21,22
2013,22,23,23,22,23,22,23,23,21,21,23,21
2014,19,21,19,22,24,24,23,23,30,26,24,30
2015,20,29,26,22,23,21,25,26,24,25,30,25
2016,24,26,25,25,22,24,25,26,26,26,25,26
2017,25,26,27,27,28,26,26,23,27,33,27,28
2018,31,28,23,29,27,28,27,27,21,24,26,24
2019,24,25,26,27,28,28,27,28,25,26,25,27
2020,27,27,25,21,41,44,26,26,26,27,26,26
2021,25,28,33,45,30,33,31,30,32,34,32,30
