Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,273,298,263,263,300,297,268,257,254,279,267,197
2002,243,224,242,236,293,242,225,263,204,233,229,231
2003,257,255,247,184,240,248,255,255,265,250,262,286
2004,270,260,269,266,259,255,287,268,283,305,285,296
2005,286,252,288,269,265,288,267,300,341,283,263,250
2006,244,277,260,290,307,260,277,260,261,248,260,255
2007,268,258,269,279,279,243,266,258,266,256,267,253
2008,258,269,259,269,264,282,257,241,239,225,221,232
2009,239,227,225,213,199,228,220,233,236,235,262,229
2010,232,259,230,227,321,272,243,258,286,285,248,286
2011,217,224,277,240,305,238,308,248,232,236,237,243
2012,310,286,260,239,239,235,261,260,276,256,270,270
2013,236,265,274,267,239,263,224,245,254,232,213,215
2014,220,216,233,240,235,207,225,223,227,225,251,245
2015,248,277,256,262,255,262,276,279,237,295,295,276
2016,277,290,287,281,280,292,277,298,262,269,270,324
2017,330,296,281,286,303,274,258,275,279,316,261,272
2018,273,283,260,267,305,307,313,297,286,283,293,289
2019,266,270,289,322,294,280,331,291,300,323,319,279
2020,346,339,231,171,392,404,344,342,315,304,297,268
2021,268,289,278,285,264,300,321,337,321,321,323,337
