Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,178,185,211,243,151,202,192,162,177,227,187,177
2002,199,190,179,179,198,192,208,185,182,187,192,192
2003,182,211,155,168,180,168,161,180,168,177,156,174
2004,194,190,191,257,190,215,187,215,229,217,210,203
2005,195,218,225,228,209,197,199,204,198,196,205,147
2006,194,242,193,189,211,210,224,190,214,202,187,203
2007,216,182,193,178,182,164,218,211,197,197,218,231
2008,165,183,179,176,157,158,154,168,166,145,118,146
2009,157,235,150,150,161,158,140,156,151,163,165,152
2010,183,163,176,169,158,181,177,149,170,171,153,166
2011,141,180,197,201,165,167,143,160,165,165,175,186
2012,152,170,155,161,162,163,160,162,176,143,172,169
2013,205,174,180,160,178,149,177,181,170,177,168,169
2014,197,178,182,183,185,182,189,191,197,201,192,194
2015,192,211,192,211,208,196,195,204,225,201,227,209
2016,213,227,194,186,163,194,197,199,218,224,214,209
2017,212,222,233,255,262,237,192,210,218,225,202,187
2018,224,223,246,199,176,206,233,216,174,193,190,180
2019,187,185,199,221,205,211,209,216,193,200,207,229
2020,195,203,225,103,255,243,270,223,218,191,218,210
2021,202,242,219,197,196,205,195,189,222,242,252,235
