Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,48,50,52,48,55,42,47,45,41,48,46,44
2002,47,48,44,48,46,46,48,44,50,44,42,49
2003,47,42,42,38,43,49,45,50,43,53,50,54
2004,49,42,51,54,51,49,48,47,47,47,47,46
2005,49,50,55,55,55,54,56,56,61,57,63,58
2006,65,58,56,58,57,59,60,59,57,60,68,60
2007,58,50,61,64,66,60,56,60,55,68,59,53
2008,55,58,56,53,56,53,55,57,49,53,46,63
2009,43,44,41,42,39,38,53,39,45,42,52,43
2010,40,40,44,38,49,43,41,42,45,41,40,46
2011,48,45,46,50,43,48,50,48,52,43,45,45
2012,46,47,46,56,52,43,50,50,44,54,48,51
2013,53,51,48,47,48,55,43,45,43,51,51,50
2014,50,49,53,48,45,51,48,51,53,49,44,51
2015,47,58,51,52,55,54,57,54,51,54,57,54
2016,56,59,56,67,67,62,60,65,66,59,61,65
2017,67,63,59,60,69,66,76,74,78,79,78,81
2018,81,77,75,81,73,83,76,78,74,81,84,80
2019,78,78,84,89,66,70,72,68,69,63,56,63
2020,69,69,60,63,101,71,72,78,70,71,64,59
2021,60,74,69,94,80,72,79,75,71,73,76,68
