Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,11,13,15,13,14,14,15,14,14,17,13,12
2002,14,13,13,13,13,14,14,13,11,13,13,13
2003,16,14,12,12,14,13,13,14,14,14,14,17
2004,14,15,13,15,13,14,12,14,15,15,16,18
2005,14,14,15,14,15,14,14,14,15,13,13,13
2006,15,18,14,14,14,14,14,13,13,13,12,13
2007,12,12,13,12,13,13,15,14,13,12,15,14
2008,14,13,13,12,13,12,11,13,13,12,9,11
2009,11,12,10,12,11,11,11,11,10,12,11,11
2010,11,12,11,11,11,10,14,11,12,12,12,13
2011,11,11,12,12,11,13,12,11,13,12,11,12
2012,11,12,12,14,10,12,11,11,12,9,12,11
2013,10,12,13,10,11,11,11,13,11,11,11,10
2014,11,11,11,12,12,11,11,11,11,11,12,15
2015,12,13,13,11,12,12,14,14,13,13,14,14
2016,13,14,13,13,11,13,12,13,14,13,12,15
2017,12,12,13,15,15,14,17,12,13,15,12,12
2018,10,14,13,13,13,14,16,14,12,14,13,13
2019,13,13,13,13,14,14,14,13,13,13,13,13
2020,14,13,11,11,21,18,12,13,14,13,12,12
2021,12,13,14,16,15,32,13,14,15,14,14,14
