Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,5.3,5.6,5.0,5.2,4.6,4.6,6.1,4.3,4.6,4.9,4.3,4.3
2002,4.0,4.6,3.9,3.9,3.9,3.9,3.9,4.2,3.6,4.2,4.2,4.2
2003,5.1,3.6,2.9,3.9,3.9,3.8,3.6,3.5,3.5,3.2,3.5,3.8
2004,4.1,3.8,3.8,3.2,4.4,3.5,4.4,3.8,4.1,4.1,3.8,4.4
2005,3.7,3.8,4.3,4.0,4.3,4.3,4.6,4.3,4.9,4.9,4.6,4.3
2006,5.5,4.3,4.8,4.8,4.5,4.5,4.0,4.5,4.8,4.9,5.1,4.8
2007,4.8,5.1,4.8,5.1,5.1,5.4,4.8,5.4,5.4,5.1,5.1,4.5
2008,5.0,4.8,4.8,3.9,5.6,4.2,4.2,3.9,3.6,3.6,3.6,3.3
2009,3.3,3.3,3.0,2.4,3.0,3.0,2.4,3.0,3.0,3.3,3.3,3.6
2010,3.3,3.3,3.3,3.6,3.3,3.3,3.8,3.5,3.8,3.8,4.1,3.5
2011,2.9,3.5,3.8,3.5,3.8,3.8,4.1,3.5,4.3,3.8,3.5,3.8
2012,3.8,3.2,3.7,3.5,3.5,3.5,3.5,3.5,3.7,3.4,3.7,3.7
2013,3.7,4.3,4.0,3.7,4.0,3.7,3.7,4.3,3.7,4.0,3.7,3.4
2014,4.8,4.5,4.3,4.8,4.8,4.8,4.5,4.8,4.5,4.5,4.8,4.8
2015,4.8,5.0,5.0,4.8,5.3,4.5,5.8,4.5,5.0,5.1,5.3,5.3
2016,5.1,4.8,5.1,5.6,5.4,5.4,5.1,5.1,5.2,5.4,5.4,5.2
2017,5.4,4.9,4.6,4.9,5.2,5.2,6.3,5.5,5.5,6.6,5.5,5.5
2018,5.5,6.0,6.3,5.5,6.0,6.6,6.8,6.6,6.3,6.3,6.5,7.1
2019,6.3,6.8,6.8,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.3,6.5
2020,6.5,6.5,5.7,4.7,1.7,3.1,6.2,6.7,6.9,6.5,6.7,6.7
2021,7.0,7.3,7.8,7.3,5.6,7.1,10.6,8.9,8.9,8.5,8.8,9.7
