Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.4,3.3,3.5,3.8,3.4,3.2,2.9,2.7,2.7,2.4,2.5,2.6
2002,2.7,2.2,2.6,2.3,2.2,2.0,2.3,2.3,2.4,2.5,2.5,2.1
2003,2.9,2.3,2.1,2.2,2.4,2.5,2.3,2.4,2.1,2.3,2.3,2.0
2004,2.0,2.6,2.7,2.8,3.0,2.3,2.6,2.6,3.0,2.9,2.6,3.0
2005,2.3,2.5,2.3,2.5,2.3,2.4,2.7,2.3,2.8,2.6,2.7,2.8
2006,3.0,2.8,2.8,3.8,2.9,3.0,3.0,3.2,3.2,3.3,3.4,3.4
2007,3.1,3.4,3.4,2.9,2.9,3.2,3.0,2.9,2.6,2.8,2.6,2.7
2008,3.3,2.7,2.9,2.7,2.7,2.7,2.5,3.0,2.5,2.4,2.5,2.9
2009,2.4,2.7,2.2,1.9,2.4,2.2,1.8,2.0,2.7,2.2,2.1,2.3
2010,2.1,2.3,2.0,3.6,2.7,2.4,2.5,2.5,2.2,2.2,2.2,1.9
2011,2.3,2.1,2.0,2.3,2.2,2.2,2.4,1.9,2.4,2.2,2.2,2.3
2012,2.5,2.4,2.5,2.4,2.5,2.4,2.4,2.3,2.3,2.4,2.4,2.5
2013,2.5,2.4,2.4,2.4,2.2,2.9,2.2,2.5,2.5,2.2,2.5,2.4
2014,2.6,2.5,2.7,2.9,2.9,3.1,3.0,2.9,3.0,3.1,2.8,2.8
2015,3.1,2.9,2.4,2.7,3.3,3.0,3.4,2.8,3.2,3.3,3.4,3.5
2016,3.4,3.3,3.4,3.1,3.4,3.8,3.5,3.2,3.4,3.0,3.5,3.7
2017,3.8,4.0,3.7,4.8,3.7,3.8,3.7,3.7,3.7,3.7,3.7,3.6
2018,3.7,3.5,3.6,3.8,3.9,4.0,4.0,4.0,4.0,3.8,3.5,3.6
2019,3.5,3.6,3.7,3.6,4.0,3.6,3.5,3.6,3.6,4.3,3.7,3.8
2020,3.8,4.0,3.5,3.3,3.9,3.8,3.7,3.5,3.6,4.0,4.0,4.1
2021,4.1,4.6,5.4,6.2,6.1,6.1,6.2,6.0,5.8,6.0,6.6,6.0
