Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.9,4.3,4.3,3.0,3.0,3.9,3.7,3.2,3.5,3.9,3.2,3.3
2002,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8,2.8,2.6
2003,2.6,2.8,2.8,3.1,3.0,3.3,3.0,3.5,3.5,3.2,3.7,3.2
2004,5.2,3.4,2.8,3.2,3.2,3.0,3.4,3.0,3.2,3.8,2.7,3.2
2005,3.4,3.2,3.2,3.6,2.5,3.2,3.6,3.3,3.3,3.5,3.5,3.5
2006,3.5,3.3,3.7,3.7,3.5,3.9,3.3,3.5,3.3,3.5,3.3,3.7
2007,4.8,3.5,3.9,3.5,3.5,3.5,3.3,3.7,3.7,3.5,3.5,3.3
2008,3.5,3.5,3.3,3.1,3.1,3.1,2.7,2.7,2.5,2.5,2.5,2.3
2009,1.6,2.1,1.9,1.6,2.1,1.7,1.4,1.9,1.9,1.9,1.9,1.9
2010,2.2,1.9,2.4,2.4,2.4,2.1,2.8,2.3,2.3,2.6,2.4,2.6
2011,1.9,2.6,2.3,3.2,2.6,2.8,4.1,2.6,3.2,2.6,3.0,3.5
2012,3.7,3.0,3.5,3.2,3.5,3.2,3.2,3.0,3.0,3.0,3.0,3.0
2013,3.4,3.2,3.2,3.2,3.2,3.4,2.9,3.4,3.2,2.9,3.1,2.9
2014,2.7,3.6,3.3,3.1,3.5,3.7,3.5,4.2,3.7,4.3,3.9,3.9
2015,3.7,4.1,4.1,5.1,4.5,3.9,4.7,3.9,4.0,4.7,4.6,4.2
2016,4.5,4.0,4.8,4.2,4.0,4.4,4.0,4.0,4.0,3.6,3.8,4.0
2017,4.0,4.2,4.0,4.8,3.8,4.0,4.2,4.2,4.2,3.6,4.2,4.4
2018,4.2,4.4,4.2,4.6,4.7,4.7,4.6,4.6,4.9,4.5,4.5,4.7
2019,4.9,4.3,4.9,4.7,4.5,4.3,4.9,4.7,4.5,5.5,4.5,3.9
2020,4.5,4.7,3.9,4.1,4.3,4.9,4.8,5.0,4.9,4.9,4.1,4.1
2021,5.1,4.9,5.1,6.7,6.5,7.3,7.2,6.8,6.4,6.4,6.0,6.8
