Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,3.2,3.2,3.8,3.5,3.6,3.7,3.7,3.4,3.0,2.6,3.0,2.8
2002,2.8,2.1,2.8,2.3,2.2,2.3,2.3,2.4,2.2,2.3,2.3,2.4
2003,2.2,2.2,2.1,2.0,2.4,2.1,1.9,2.2,2.0,2.6,2.5,2.4
2004,2.4,2.6,2.4,2.4,2.4,2.2,2.2,2.2,2.3,2.5,2.3,2.6
2005,2.5,2.6,2.4,2.7,2.5,2.6,2.6,2.5,2.6,2.7,2.4,2.3
2006,2.6,2.6,3.0,3.4,2.5,2.8,2.8,3.2,3.1,2.5,3.3,2.8
2007,3.1,2.6,3.0,2.6,2.6,3.3,2.8,2.6,3.0,2.7,2.8,3.2
2008,3.1,3.0,2.9,2.7,3.0,2.8,2.6,2.7,2.3,2.2,1.8,2.1
2009,1.7,2.0,1.5,1.8,1.8,1.6,1.7,1.5,1.6,1.8,2.1,1.7
2010,1.8,2.0,1.8,2.0,2.0,2.1,1.8,1.9,1.7,2.1,2.3,2.1
2011,2.4,2.6,2.5,2.5,2.4,2.5,2.9,2.5,2.6,2.5,2.3,2.4
2012,2.5,2.4,2.9,2.2,2.7,2.8,2.7,2.5,2.6,2.7,2.7,3.2
2013,2.6,2.8,2.4,2.8,2.6,3.1,2.6,3.1,3.2,3.2,3.2,2.8
2014,3.0,2.4,3.3,3.0,3.2,3.0,3.1,3.9,3.1,3.1,2.8,3.4
2015,4.0,3.4,3.5,3.7,3.7,3.9,4.1,3.8,3.9,3.5,4.0,4.3
2016,4.2,4.3,4.2,3.1,3.3,3.6,3.7,3.8,3.7,3.5,4.0,4.0
2017,3.9,4.1,3.7,4.0,3.7,4.2,4.2,4.3,4.5,4.6,4.2,4.5
2018,4.6,4.5,5.1,5.0,5.2,4.9,5.1,5.0,5.3,5.4,5.8,5.3
2019,5.1,5.0,4.8,5.5,5.2,5.4,5.8,4.5,4.5,4.3,4.2,3.7
2020,4.1,4.1,3.5,3.2,3.6,4.1,4.9,4.1,3.8,4.4,4.5,4.6
2021,4.6,4.9,5.4,5.9,5.4,5.6,6.6,6.9,6.7,7.9,7.3,7.6
